Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1401	C11_allLanes_P	B11_allLanes_P	C03_plate27	100M	L-2-18	YO99_2	8	YT86_1	D	D8
1421	D02_allLanes_P	E06_allLanes_P	C03_plate01	002B	L-2-18	OC64_2	14	YJ60_1	F	F14
1428	D02_allLanes_P	E06_allLanes_P	C02_plate01	002I	L-1-18	OC64_2	14	YJ60_1	F	F14
1435	D02_allLanes_P	A11_allLanes_P	C02_plate08	032A	L-1-18	YO96_2	11	YJ60_1	F	F11
1442	D02_allLanes_P	A09_allLanes_P	C02_plate31	114H	L-1-18	YG97_2	13	YJ60_1	F	F13
1456	D02_allLanes_P	B12_allLanes_P	C01_plate12	047D	L-1-15	YN92_2	12	YJ60_1	F	F12
1463	D02_allLanes_P	A11_allLanes_P	C01_plate22	081K	L-1-15	YO96_2	11	YJ60_1	F	F11
1470	D02_allLanes_P	A11_allLanes_P	C01_plate17	065G	L-1-15	YO96_2	11	YJ60_1	F	F11
1477	D02_allLanes_P	E04_allLanes_P	C03_plate32	116Q	L-2-18	OS12_2	15	YJ60_1	F	F15
1484	D02_allLanes_P	E06_allLanes_P	C01_plate07	015Z	L-1-15	OC64_2	14	YJ60_1	F	F14
1498	D02_allLanes_P	A11_allLanes_P	C02_plate11	032S	L-1-18	YO96_2	11	YJ60_1	F	F11
1519	D02_allLanes_P	A09_allLanes_P	C03_plate22	084I	L-2-18	YG97_2	13	YJ60_1	F	F13
1526	D02_allLanes_P	A11_allLanes_P	C03_plate15	050T	L-2-18	YO96_2	11	YJ60_1	F	F11
1554	D02_allLanes_P	E04_allLanes_P	C02_plate09	032G	L-1-18	OS12_2	15	YJ60_1	F	F15
1568	D02_allLanes_P	A11_allLanes_P	C01_plate26	097I	L-1-15	YO96_2	11	YJ60_1	F	F11
1575	D02_allLanes_P	A09_allLanes_P	C01_plate16	065B	L-1-15	YG97_2	13	YJ60_1	F	F13
