Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
906	B04_allLanes_P	A01_allLanes_P	A09_plate13	045X	H-2-15	YI44_2	45	OF09_1	R	R45
911	B04_allLanes_P	A01_allLanes_P	A09_plate10	045G	H-2-15	YI44_2	45	OF09_1	R	R45
916	B04_allLanes_P	H06_allLanes_P	A12_plate17	057V	Mix-2-15	OD43_2	42	OF09_1	R	R42
926	B04_allLanes_P	H02_allLanes_P	A07_plate18	059X	H-1-15	YD98_2	43	OF09_1	R	R43
936	B04_allLanes_P	H06_allLanes_P	A08_plate14	060B	H-1-18	OD43_2	42	OF09_1	R	R42
946	B04_allLanes_P	H06_allLanes_P	A07_plate03	011M	H-1-15	OD43_2	42	OF09_1	R	R42
951	B04_allLanes_P	H06_allLanes_P	A09_plate33	117Y	H-2-15	OD43_2	42	OF09_1	R	R42
956	B04_allLanes_P	A01_allLanes_P	A09_plate09	045A	H-2-15	YI44_2	45	OF09_1	R	R45
971	B04_allLanes_P	E08_allLanes_P	A09_plate32	117S	H-2-15	OL28_2	41	OF09_1	R	R41
976	B04_allLanes_P	H06_allLanes_P	A09_plate28	111I	H-2-15	OD43_2	42	OF09_1	R	R42
986	B04_allLanes_P	H02_allLanes_P	A07_plate16	059L	H-1-15	YD98_2	43	OF09_1	R	R43
991	B04_allLanes_P	F01_allLanes_P	A09_plate18	079B	H-2-15	YD53_2	44	OF09_1	R	R44
1006	B04_allLanes_P	H02_allLanes_P	A07_plate26	093S	H-1-15	YD98_2	43	OF09_1	R	R43
1016	B04_allLanes_P	H06_allLanes_P	A09_plate27	111C	H-2-15	OD43_2	42	OF09_1	R	R42
1026	B04_allLanes_P	H02_allLanes_P	A07_plate33	117I	H-1-15	YD98_2	43	OF09_1	R	R43
1041	B04_allLanes_P	H02_allLanes_P	A08_plate06	028G	H-1-18	YD98_2	43	OF09_1	R	R43
1056	B04_allLanes_P	E08_allLanes_P	A09_plate21	079T	H-2-15	OL28_2	41	OF09_1	R	R41
1071	B04_allLanes_P	H06_allLanes_P	A08_plate29	110M	H-1-18	OD43_2	42	OF09_1	R	R42
1081	B04_allLanes_P	H06_allLanes_P	B02_plate06	118X	H-1-18	OD43_2	42	OF09_1	R	R42
1096	B04_allLanes_P	E08_allLanes_P	A08_plate31	110Y	H-1-18	OL28_2	41	OF09_1	R	R41
1111	B04_allLanes_P	E08_allLanes_P	A07_plate12	043N	H-1-15	OL28_2	41	OF09_1	R	R41
1126	B04_allLanes_P	H06_allLanes_P	A07_plate11	043H	H-1-15	OD43_2	42	OF09_1	R	R42
1156	B10_allLanes_P	G06_allLanes_P	A02_plate11	032Q	L-1-18	OD42_2	2	YS77_1	A	A2
1166	B10_allLanes_P	G06_allLanes_P	A03_plate09	033L	L-2-15	OD42_2	2	YS77_1	A	A2
1176	B10_allLanes_P	G06_allLanes_P	A01_plate06	015R	L-1-15	OD42_2	2	YS77_1	A	A2
1191	C06_allLanes_P	B11_allLanes_P	A01_plate05	015L	L-1-15	YO99_2	8	OC50_1	C	C8
1196	C06_allLanes_P	B11_allLanes_P	B03_plate22	083L	L-2-15	YO99_2	8	OC50_1	C	C8
1211	C11_allLanes_P	F08_allLanes_P	B03_plate20	067Z	L-2-15	YG96_2	9	YT86_1	D	D9
1216	C11_allLanes_P	F08_allLanes_P	A03_plate13	049J	L-2-15	YG96_2	9	YT86_1	D	D9
1221	C11_allLanes_P	H07_allLanes_P	A02_plate17	066A	L-1-18	OG59_2	10	YT86_1	D	D10
1226	C11_allLanes_P	B01_allLanes_P	A02_plate23	082J	L-1-18	YJ88_2	6	YT86_1	D	D6
1231	C11_allLanes_P	F08_allLanes_P	B03_plate19	067T	L-2-15	YG96_2	9	YT86_1	D	D9
1236	C11_allLanes_P	H07_allLanes_P	B01_plate23	081P	L-1-15	OG59_2	10	YT86_1	D	D10
1241	C11_allLanes_P	F08_allLanes_P	A01_plate17	065F	L-1-15	YG96_2	9	YT86_1	D	D9
1246	C11_allLanes_P	B01_allLanes_P	A01_plate24	081U	L-1-15	YJ88_2	6	YT86_1	D	D6
1256	C11_allLanes_P	H07_allLanes_P	A03_plate30	115H	L-2-15	OG59_2	10	YT86_1	D	D10
1261	C11_allLanes_P	B11_allLanes_P	A03_plate02	001T	L-2-15	YO99_2	8	YT86_1	D	D8
1266	C11_allLanes_P	D05_allLanes_P	B03_plate05	017O	L-2-15	YT35_2	7	YT86_1	D	D7
1276	C11_allLanes_P	B01_allLanes_P	A03_plate17	067H	L-2-15	YJ88_2	6	YT86_1	D	D6
1286	C11_allLanes_P	F08_allLanes_P	A03_plate25	099C	L-2-15	YG96_2	9	YT86_1	D	D9
1291	C11_allLanes_P	B11_allLanes_P	B02_plate01	002G	L-1-18	YO99_2	8	YT86_1	D	D8
1316	C11_allLanes_P	H07_allLanes_P	A03_plate14	049P	L-2-15	OG59_2	10	YT86_1	D	D10
1321	C11_allLanes_P	F08_allLanes_P	A01_plate20	065W	L-1-15	YG96_2	9	YT86_1	D	D9
1326	C11_allLanes_P	B11_allLanes_P	B03_plate11	033Y	L-2-15	YO99_2	8	YT86_1	D	D8
1331	C11_allLanes_P	B01_allLanes_P	A01_plate03	001Z	L-1-15	YJ88_2	6	YT86_1	D	D6
1341	C11_allLanes_P	H07_allLanes_P	A01_plate10	031P	L-1-15	OG59_2	10	YT86_1	D	D10
1346	C11_allLanes_P	B01_allLanes_P	A04_plate13	035T	M-1-15	YJ88_2	6	YT86_1	D	D6
1376	C11_allLanes_P	H07_allLanes_P	B02_plate05	016N	L-1-18	OG59_2	10	YT86_1	D	D10
1381	C11_allLanes_P	F08_allLanes_P	A03_plate27	099O	L-2-15	YG96_2	9	YT86_1	D	D9
1391	C11_allLanes_P	F08_allLanes_P	B01_plate24	081V	L-1-15	YG96_2	9	YT86_1	D	D9
1396	C11_allLanes_P	H07_allLanes_P	B01_plate04	015G	L-1-15	OG59_2	10	YT86_1	D	D10
1401	C11_allLanes_P	F08_allLanes_P	B03_plate26	099J	L-2-15	YG96_2	9	YT86_1	D	D9
1406	C11_allLanes_P	F08_allLanes_P	A03_plate22	083K	L-2-15	YG96_2	9	YT86_1	D	D9
1421	C11_allLanes_P	B01_allLanes_P	A03_plate11	033X	L-2-15	YJ88_2	6	YT86_1	D	D6
1431	C11_allLanes_P	B11_allLanes_P	A03_plate21	083E	L-2-15	YO99_2	8	YT86_1	D	D8
1491	D02_allLanes_P	A09_allLanes_P	A01_plate15	047T	L-1-15	YG97_2	13	YJ60_1	F	F13
1498	D02_allLanes_P	A09_allLanes_P	A01_plate31	113K	L-1-15	YG97_2	13	YJ60_1	F	F13
1512	D02_allLanes_P	A11_allLanes_P	B03_plate13	049K	L-2-15	YO96_2	11	YJ60_1	F	F11
1519	D02_allLanes_P	A11_allLanes_P	A02_plate01	002E	L-1-18	YO96_2	11	YJ60_1	F	F11
1526	D02_allLanes_P	A11_allLanes_P	B02_plate21	066Y	L-1-18	YO96_2	11	YJ60_1	F	F11
