Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
2021	D03_allLanes_P	E11_allLanes_P	E06_plate29	104Z	M-2-18	YV93_2	23	YS24_1	J	J23
2026	D03_allLanes_P	A06_allLanes_P	E04_plate32	087T	M-1-15	YN49_2	22	YS24_1	J	J22
2031	D03_allLanes_P	E11_allLanes_P	E06_plate26	088H	M-2-18	YV93_2	23	YS24_1	J	J23
2041	D03_allLanes_P	E11_allLanes_P	E05_plate21	071C	M-2-15	YV93_2	23	YS24_1	J	J23
2046	D03_allLanes_P	G04_allLanes_P	E06_plate11	038J	M-2-18	YF88_2	25	YS24_1	J	J25
2051	D03_allLanes_P	A06_allLanes_P	E04_plate10	035F	M-1-15	YN49_2	22	YS24_1	J	J22
2061	D03_allLanes_P	G04_allLanes_P	E05_plate25	071Z	M-2-15	YF88_2	25	YS24_1	J	J25
2066	D03_allLanes_P	C04_allLanes_P	E05_plate11	037H	M-2-15	OG35_2	21	YS24_1	J	J21
2071	D03_allLanes_P	E11_allLanes_P	E06_plate23	072Q	M-2-18	YV93_2	23	YS24_1	J	J23
2076	D03_allLanes_P	B07_allLanes_P	E04_plate08	019T	M-1-15	OD53_2	24	YS24_1	J	J24
2081	D03_allLanes_P	C04_allLanes_P	E04_plate02	003K	M-1-15	OG35_2	21	YS24_1	J	J21
2101	D03_allLanes_P	A06_allLanes_P	E06_plate05	022A	M-2-18	YN49_2	22	YS24_1	J	J22
2106	D03_allLanes_P	C04_allLanes_P	E04_plate20	069A	M-1-15	OG35_2	21	YS24_1	J	J21
2111	D03_allLanes_P	E11_allLanes_P	E05_plate01	005A	M-2-15	YV93_2	23	YS24_1	J	J23
2116	D03_allLanes_P	E11_allLanes_P	E05_plate09	021V	M-2-15	YV93_2	23	YS24_1	J	J23
2121	D03_allLanes_P	E11_allLanes_P	E06_plate33	104U	M-2-18	YV93_2	23	YS24_1	J	J23
2126	D03_allLanes_P	E11_allLanes_P	E04_plate01	003E	M-1-15	YV93_2	23	YS24_1	J	J23
2141	D03_allLanes_P	A06_allLanes_P	E05_plate05	005Y	M-2-15	YN49_2	22	YS24_1	J	J22
2161	D03_allLanes_P	C04_allLanes_P	E05_plate04	005S	M-2-15	OG35_2	21	YS24_1	J	J21
2166	D03_allLanes_P	G04_allLanes_P	E05_plate29	103X	M-2-15	YF88_2	25	YS24_1	J	J25
2171	D03_allLanes_P	C04_allLanes_P	E07_plate33	101R	M-1-15	OG35_2	21	YS24_1	J	J21
2191	D03_allLanes_P	E11_allLanes_P	E04_plate19	063H	M-1-15	YV93_2	23	YS24_1	J	J23
2201	D03_allLanes_P	C04_allLanes_P	E05_plate17	053R	M-2-15	OG35_2	21	YS24_1	J	J21
2226	D03_allLanes_P	G04_allLanes_P	E04_plate21	069F	M-1-15	YF88_2	25	YS24_1	J	J25
2241	D03_allLanes_P	C04_allLanes_P	E05_plate08	021P	M-2-15	OG35_2	21	YS24_1	J	J21
2246	D03_allLanes_P	G04_allLanes_P	E04_plate11	035L	M-1-15	YF88_2	25	YS24_1	J	J25
2266	D03_allLanes_P	C04_allLanes_P	E04_plate26	085J	M-1-15	OG35_2	21	YS24_1	J	J21
2301	D06_allLanes_P	B05_allLanes_P	E07_plate02	011K	H-1-15	YG88_2	47	OC52_1	S	S47
2306	D06_allLanes_P	C03_allLanes_P	F03_plate03	018D	L-2-18	YJ69_2	48	OC52_1	S	S48
2311	D06_allLanes_P	B05_allLanes_P	E01_plate13	047L	L-1-15	YG88_2	47	OC52_1	S	S47
2316	D06_allLanes_P	E09_allLanes_P	E03_plate08	034F	L-2-18	YO66_2	49	OC52_1	S	S49
2326	D06_allLanes_P	G07_allLanes_P	E02_plate07	017V	L-2-15	OG58_2	46	OC52_1	S	S46
2331	D06_allLanes_P	C03_allLanes_P	E01_plate04	015J	L-1-15	YJ69_2	48	OC52_1	S	S48
2341	D06_allLanes_P	G07_allLanes_P	E02_plate30	115D	L-2-15	OG58_2	46	OC52_1	S	S46
2351	D06_allLanes_P	G07_allLanes_P	E03_plate09	034L	L-2-18	OG58_2	46	OC52_1	S	S46
2361	D06_allLanes_P	G07_allLanes_P	E02_plate11	033T	L-2-15	OG58_2	46	OC52_1	S	S46
