Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
796	B03_allLanes_P	H02_allLanes_P	C09_plate19	080D	H-2-18	YD98_2	43	YK83_1	Q	Q43
801	B03_allLanes_P	A01_allLanes_P	C08_plate20	078N	H-1-18	YI44_2	45	YK83_1	Q	Q45
806	B03_allLanes_P	F01_allLanes_P	C09_plate04	014S	H-2-18	YD53_2	44	YK83_1	Q	Q44
811	B03_allLanes_P	H02_allLanes_P	C09_plate22	080V	H-2-18	YD98_2	43	YK83_1	Q	Q43
821	B03_allLanes_P	H02_allLanes_P	C09_plate33	118I	H-2-18	YD98_2	43	YK83_1	Q	Q43
831	B03_allLanes_P	H02_allLanes_P	D07_plate19	077G	H-1-15	YD98_2	43	YK83_1	Q	Q43
836	B03_allLanes_P	F01_allLanes_P	D08_plate17	060W	H-1-18	YD53_2	44	YK83_1	Q	Q44
841	B03_allLanes_P	E08_allLanes_P	D09_plate01	014B	H-2-18	OL28_2	41	YK83_1	Q	Q41
851	B03_allLanes_P	H06_allLanes_P	C09_plate16	062L	H-2-18	OD43_2	42	YK83_1	Q	Q42
866	B03_allLanes_P	F01_allLanes_P	D08_plate28	110J	H-1-18	YD53_2	44	YK83_1	Q	Q44
876	B03_allLanes_P	H06_allLanes_P	D09_plate25	096O	H-2-18	OD43_2	42	YK83_1	Q	Q42
886	B03_allLanes_P	H06_allLanes_P	C08_plate09	044A	H-1-18	OD43_2	42	YK83_1	Q	Q42
891	B03_allLanes_P	F01_allLanes_P	C09_plate30	112Q	H-2-18	YD53_2	44	YK83_1	Q	Q44
896	B03_allLanes_P	H06_allLanes_P	C08_plate25	094R	H-1-18	OD43_2	42	YK83_1	Q	Q42
901	B03_allLanes_P	A01_allLanes_P	C09_plate24	096H	H-2-18	YI44_2	45	YK83_1	Q	Q45
916	B03_allLanes_P	F01_allLanes_P	D09_plate30	112R	H-2-18	YD53_2	44	YK83_1	Q	Q44
921	B03_allLanes_P	F01_allLanes_P	D08_plate03	012R	H-1-18	YD53_2	44	YK83_1	Q	Q44
931	B03_allLanes_P	F01_allLanes_P	D07_plate20	077M	H-1-15	YD53_2	44	YK83_1	Q	Q44
941	B03_allLanes_P	E08_allLanes_P	C08_plate12	044R	H-1-18	OL28_2	41	YK83_1	Q	Q41
986	B03_allLanes_P	F01_allLanes_P	C09_plate21	080P	H-2-18	YD53_2	44	YK83_1	Q	Q44
996	B03_allLanes_P	E08_allLanes_P	C09_plate26	096T	H-2-18	OL28_2	41	YK83_1	Q	Q41
1001	B03_allLanes_P	E08_allLanes_P	C09_plate09	030W	H-2-18	OL28_2	41	YK83_1	Q	Q41
1026	B03_allLanes_P	H06_allLanes_P	C09_plate20	080J	H-2-18	OD43_2	42	YK83_1	Q	Q42
1031	B03_allLanes_P	H06_allLanes_P	D09_plate08	030R	H-2-18	OD43_2	42	YK83_1	Q	Q42
1056	B03_allLanes_P	H06_allLanes_P	C09_plate11	046I	H-2-18	OD43_2	42	YK83_1	Q	Q42
1061	B03_allLanes_P	F01_allLanes_P	C09_plate05	014Y	H-2-18	YD53_2	44	YK83_1	Q	Q44
1071	B03_allLanes_P	H06_allLanes_P	D08_plate13	044Y	H-1-18	OD43_2	42	YK83_1	Q	Q42
1091	B04_allLanes_P	A01_allLanes_P	D08_plate19	078I	H-1-18	YI44_2	45	OF09_1	R	R45
1101	B04_allLanes_P	A01_allLanes_P	C08_plate21	078T	H-1-18	YI44_2	45	OF09_1	R	R45
1111	B04_allLanes_P	A01_allLanes_P	C08_plate11	044L	H-1-18	YI44_2	45	OF09_1	R	R45
1121	B04_allLanes_P	E08_allLanes_P	D08_plate09	044B	H-1-18	OL28_2	41	OF09_1	R	R41
1126	B04_allLanes_P	H02_allLanes_P	D09_plate26	096U	H-2-18	YD98_2	43	OF09_1	R	R43
1131	B04_allLanes_P	A01_allLanes_P	D09_plate13	046U	H-2-18	YI44_2	45	OF09_1	R	R45
1141	B04_allLanes_P	H02_allLanes_P	C08_plate24	094L	H-1-18	YD98_2	43	OF09_1	R	R43
1146	B04_allLanes_P	H02_allLanes_P	D09_plate15	062G	H-2-18	YD98_2	43	OF09_1	R	R43
1151	B04_allLanes_P	A01_allLanes_P	C08_plate15	060J	H-1-18	YI44_2	45	OF09_1	R	R45
1161	B04_allLanes_P	H02_allLanes_P	C09_plate10	046C	H-2-18	YD98_2	43	OF09_1	R	R43
1166	B04_allLanes_P	H02_allLanes_P	D09_plate02	014H	H-2-18	YD98_2	43	OF09_1	R	R43
1176	B04_allLanes_P	F01_allLanes_P	D07_plate30	109T	H-1-15	YD53_2	44	OF09_1	R	R44
1181	B04_allLanes_P	A01_allLanes_P	D09_plate31	112X	H-2-18	YI44_2	45	OF09_1	R	R45
1191	B04_allLanes_P	H02_allLanes_P	D08_plate24	094M	H-1-18	YD98_2	43	OF09_1	R	R43
1196	B04_allLanes_P	F01_allLanes_P	D07_plate09	027Y	H-1-15	YD53_2	44	OF09_1	R	R44
1201	B04_allLanes_P	A01_allLanes_P	D08_plate29	110P	H-1-18	YI44_2	45	OF09_1	R	R45
1211	B04_allLanes_P	A01_allLanes_P	D09_plate03	014N	H-2-18	YI44_2	45	OF09_1	R	R45
1221	B04_allLanes_P	H02_allLanes_P	D07_plate15	059I	H-1-15	YD98_2	43	OF09_1	R	R43
1226	B04_allLanes_P	F01_allLanes_P	C08_plate16	060P	H-1-18	YD53_2	44	OF09_1	R	R44
1236	B04_allLanes_P	H02_allLanes_P	D07_plate18	077A	H-1-15	YD98_2	43	OF09_1	R	R43
1246	B04_allLanes_P	H02_allLanes_P	D07_plate22	077Y	H-1-15	YD98_2	43	OF09_1	R	R43
1266	B04_allLanes_P	F01_allLanes_P	D09_plate12	046O	H-2-18	YD53_2	44	OF09_1	R	R44
1276	B04_allLanes_P	H02_allLanes_P	D09_plate33	118J	H-2-18	YD98_2	43	OF09_1	R	R43
1286	B04_allLanes_P	H02_allLanes_P	D07_plate11	043K	H-1-15	YD98_2	43	OF09_1	R	R43
1291	B04_allLanes_P	E08_allLanes_P	C08_plate23	094F	H-1-18	OL28_2	41	OF09_1	R	R41
1296	B04_allLanes_P	H02_allLanes_P	D09_plate20	080K	H-2-18	YD98_2	43	OF09_1	R	R43
1306	B04_allLanes_P	H02_allLanes_P	D09_plate23	096C	H-2-18	YD98_2	43	OF09_1	R	R43
1316	B04_allLanes_P	E08_allLanes_P	C08_plate17	060V	H-1-18	OL28_2	41	OF09_1	R	R41
1326	B04_allLanes_P	H02_allLanes_P	C08_plate13	044X	H-1-18	YD98_2	43	OF09_1	R	R43
1341	B04_allLanes_P	E08_allLanes_P	C09_plate15	062F	H-2-18	OL28_2	41	OF09_1	R	R41
1361	B04_allLanes_P	E08_allLanes_P	D08_plate04	012X	H-1-18	OL28_2	41	OF09_1	R	R41
1371	B04_allLanes_P	E08_allLanes_P	D09_plate21	080Q	H-2-18	OL28_2	41	OF09_1	R	R41
1386	B04_allLanes_P	H06_allLanes_P	D09_plate16	062M	H-2-18	OD43_2	42	OF09_1	R	R42
1396	B04_allLanes_P	E08_allLanes_P	C08_plate26	094W	H-1-18	OL28_2	41	OF09_1	R	R41
1406	B04_allLanes_P	F01_allLanes_P	D08_plate27	110D	H-1-18	YD53_2	44	OF09_1	R	R44
1421	B04_allLanes_P	H02_allLanes_P	C09_plate06	030E	H-2-18	YD98_2	43	OF09_1	R	R43
1426	B04_allLanes_P	H06_allLanes_P	D09_plate14	062A	H-2-18	OD43_2	42	OF09_1	R	R42
