Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
821	B03_allLanes_P	A01_allLanes_P	F09_plate27	112C	H-2-18	YI44_2	45	YK83_1	Q	Q45
826	B03_allLanes_P	H02_allLanes_P	F08_plate33	117V	H-2-15	YD98_2	43	YK83_1	Q	Q43
836	B03_allLanes_P	F01_allLanes_P	F08_plate23	095C	H-2-15	YD53_2	44	YK83_1	Q	Q44
861	B03_allLanes_P	H02_allLanes_P	F09_plate22	080Y	H-2-18	YD98_2	43	YK83_1	Q	Q43
881	B03_allLanes_P	A01_allLanes_P	F07_plate22	093A	H-1-15	YI44_2	45	YK83_1	Q	Q45
886	B03_allLanes_P	H06_allLanes_P	F08_plate08	029R	H-2-15	OD43_2	42	YK83_1	Q	Q42
891	B03_allLanes_P	F01_allLanes_P	F08_plate10	045D	H-2-15	YD53_2	44	YK83_1	Q	Q44
896	B03_allLanes_P	F01_allLanes_P	F09_plate19	080G	H-2-18	YD53_2	44	YK83_1	Q	Q44
906	B03_allLanes_P	H02_allLanes_P	F08_plate09	029X	H-2-15	YD98_2	43	YK83_1	Q	Q43
926	B03_allLanes_P	H06_allLanes_P	F08_plate20	079K	H-2-15	OD43_2	42	YK83_1	Q	Q42
946	B03_allLanes_P	A01_allLanes_P	F09_plate04	014V	H-2-18	YI44_2	45	YK83_1	Q	Q45
971	B04_allLanes_P	A01_allLanes_P	F08_plate15	061G	H-2-15	YI44_2	45	OF09_1	R	R45
981	B04_allLanes_P	A01_allLanes_P	F08_plate28	111F	H-2-15	YI44_2	45	OF09_1	R	R45
991	B04_allLanes_P	A01_allLanes_P	F09_plate33	118L	H-2-18	YI44_2	45	OF09_1	R	R45
1001	B04_allLanes_P	A01_allLanes_P	F08_plate02	013H	H-2-15	YI44_2	45	OF09_1	R	R45
1011	B04_allLanes_P	H02_allLanes_P	F07_plate23	093G	H-1-15	YD98_2	43	OF09_1	R	R43
1016	B04_allLanes_P	F01_allLanes_P	F07_plate04	011X	H-1-15	YD53_2	44	OF09_1	R	R44
1026	B04_allLanes_P	H02_allLanes_P	F07_plate19	077I	H-1-15	YD98_2	43	OF09_1	R	R43
1031	B04_allLanes_P	A01_allLanes_P	F09_plate31	112Z	H-2-18	YI44_2	45	OF09_1	R	R45
1041	B04_allLanes_P	H06_allLanes_P	F08_plate06	029F	H-2-15	OD43_2	42	OF09_1	R	R42
1051	B04_allLanes_P	A01_allLanes_P	F08_plate14	061A	H-2-15	YI44_2	45	OF09_1	R	R45
1061	B04_allLanes_P	F01_allLanes_P	F08_plate29	111L	H-2-15	YD53_2	44	OF09_1	R	R44
1066	B04_allLanes_P	H02_allLanes_P	F08_plate11	045I	H-2-15	YD98_2	43	OF09_1	R	R43
1071	B04_allLanes_P	H02_allLanes_P	F09_plate10	046F	H-2-18	YD98_2	43	OF09_1	R	R43
1076	B04_allLanes_P	E08_allLanes_P	F07_plate28	109J	H-1-15	OL28_2	41	OF09_1	R	R41
1081	B04_allLanes_P	E08_allLanes_P	F09_plate21	080S	H-2-18	OL28_2	41	OF09_1	R	R41
1091	B04_allLanes_P	H02_allLanes_P	F08_plate01	013B	H-2-15	YD98_2	43	OF09_1	R	R43
1096	B04_allLanes_P	H02_allLanes_P	F09_plate13	046W	H-2-18	YD98_2	43	OF09_1	R	R43
1101	B04_allLanes_P	E08_allLanes_P	F07_plate25	093R	H-1-15	OL28_2	41	OF09_1	R	R41
1111	B04_allLanes_P	H02_allLanes_P	F07_plate31	117B	H-1-15	YD98_2	43	OF09_1	R	R43
1116	B04_allLanes_P	E08_allLanes_P	F07_plate12	043S	H-1-15	OL28_2	41	OF09_1	R	R41
1131	B04_allLanes_P	E08_allLanes_P	F07_plate01	011F	H-1-15	OL28_2	41	OF09_1	R	R41
1151	B04_allLanes_P	E08_allLanes_P	F07_plate06	027J	H-1-15	OL28_2	41	OF09_1	R	R41
1171	B04_allLanes_P	H06_allLanes_P	F09_plate08	030T	H-2-18	OD43_2	42	OF09_1	R	R42
1186	B04_allLanes_P	H06_allLanes_P	F09_plate25	096Q	H-2-18	OD43_2	42	OF09_1	R	R42
1191	B04_allLanes_P	H06_allLanes_P	F07_plate14	059E	H-1-15	OD43_2	42	OF09_1	R	R42
1196	B04_allLanes_P	H02_allLanes_P	F08_plate26	095U	H-2-15	YD98_2	43	OF09_1	R	R43
1241	B10_allLanes_P	G06_allLanes_P	G02_plate23	083O	L-2-15	OD42_2	2	YS77_1	A	A2
1261	C11_allLanes_P	H07_allLanes_P	G02_plate12	049B	L-2-15	OG59_2	10	YT86_1	D	D10
1271	C11_allLanes_P	H07_allLanes_P	G03_plate01	002K	L-2-18	OG59_2	10	YT86_1	D	D10
1276	C11_allLanes_P	B01_allLanes_P	G02_plate25	099A	L-2-15	YJ88_2	6	YT86_1	D	D6
1281	C11_allLanes_P	B01_allLanes_P	G02_plate11	033V	L-2-15	YJ88_2	6	YT86_1	D	D6
1291	C11_allLanes_P	B01_allLanes_P	G02_plate26	099G	L-2-15	YJ88_2	6	YT86_1	D	D6
1301	C11_allLanes_P	H07_allLanes_P	G03_plate06	018V	L-2-18	OG59_2	10	YT86_1	D	D10
1306	C11_allLanes_P	D05_allLanes_P	G01_plate22	082B	L-1-18	YT35_2	7	YT86_1	D	D7
1316	C11_allLanes_P	D05_allLanes_P	F03_plate29	116B	L-2-18	YT35_2	7	YT86_1	D	D7
1321	C11_allLanes_P	B11_allLanes_P	G01_plate18	066E	L-1-18	YO99_2	8	YT86_1	D	D8
1351	D02_allLanes_P	A09_allLanes_P	F03_plate33	116Z	L-2-18	YG97_2	13	YJ60_1	F	F13
1372	D02_allLanes_P	A09_allLanes_P	G01_plate01	002A	L-1-18	YG97_2	13	YJ60_1	F	F13
1379	D02_allLanes_P	E04_allLanes_P	F03_plate17	068I	L-2-18	OS12_2	15	YJ60_1	F	F15
1386	D02_allLanes_P	B12_allLanes_P	G01_plate29	098R	L-1-18	YN92_2	12	YJ60_1	F	F12
1393	D02_allLanes_P	E06_allLanes_P	G03_plate23	084S	L-2-18	OC64_2	14	YJ60_1	F	F14
1400	D02_allLanes_P	E06_allLanes_P	G01_plate15	048M	L-1-18	OC64_2	14	YJ60_1	F	F14
1407	D02_allLanes_P	E06_allLanes_P	G01_plate10	032I	L-1-18	OC64_2	14	YJ60_1	F	F14
1421	D02_allLanes_P	A09_allLanes_P	G01_plate33	114P	L-1-18	YG97_2	13	YJ60_1	F	F13
1428	D02_allLanes_P	E06_allLanes_P	G03_plate32	116U	L-2-18	OC64_2	14	YJ60_1	F	F14
1435	D02_allLanes_P	A09_allLanes_P	G03_plate15	050X	L-2-18	YG97_2	13	YJ60_1	F	F13
1449	D02_allLanes_P	E04_allLanes_P	F03_plate27	100P	L-2-18	OS12_2	15	YJ60_1	F	F15
1463	D02_allLanes_P	E06_allLanes_P	G03_plate30	116I	L-2-18	OC64_2	14	YJ60_1	F	F14
1470	D02_allLanes_P	E06_allLanes_P	G01_plate30	098X	L-1-18	OC64_2	14	YJ60_1	F	F14
1491	D02_allLanes_P	A11_allLanes_P	G02_plate28	099S	L-2-15	YO96_2	11	YJ60_1	F	F11
1512	D02_allLanes_P	B12_allLanes_P	G02_plate16	049Z	L-2-15	YN92_2	12	YJ60_1	F	F12
1519	D02_allLanes_P	E06_allLanes_P	G02_plate04	017F	L-2-15	OC64_2	14	YJ60_1	F	F14
1526	D02_allLanes_P	A09_allLanes_P	F11_plate33	114X	L-1-18	YG97_2	13	YJ60_1	F	F13
1547	D02_allLanes_P	A11_allLanes_P	G02_plate20	067W	L-2-15	YO96_2	11	YJ60_1	F	F11
1554	D02_allLanes_P	B12_allLanes_P	G02_plate15	049T	L-2-15	YN92_2	12	YJ60_1	F	F12
1596	D02_allLanes_P	E06_allLanes_P	G01_plate13	048A	L-1-18	OC64_2	14	YJ60_1	F	F14
1624	D02_allLanes_P	A09_allLanes_P	G03_plate22	084M	L-2-18	YG97_2	13	YJ60_1	F	F13
1652	D02_allLanes_P	A11_allLanes_P	G03_plate27	100Q	L-2-18	YO96_2	11	YJ60_1	F	F11
1666	D02_allLanes_P	A09_allLanes_P	G01_plate19	066J	L-1-18	YG97_2	13	YJ60_1	F	F13
1701	D03_allLanes_P	A06_allLanes_P	F05_plate13	037U	M-2-15	YN49_2	22	YS24_1	J	J22
1706	D03_allLanes_P	G04_allLanes_P	G04_plate08	020P	M-1-18	YF88_2	25	YS24_1	J	J25
1711	D03_allLanes_P	C04_allLanes_P	F06_plate19	064T	M-2-18	OG35_2	21	YS24_1	J	J21
1716	D03_allLanes_P	E11_allLanes_P	F06_plate17	054U	M-2-18	YV93_2	23	YS24_1	J	J23
1721	D03_allLanes_P	B07_allLanes_P	G05_plate13	037V	M-2-15	OD53_2	24	YS24_1	J	J24
1726	D03_allLanes_P	A06_allLanes_P	F06_plate09	022Y	M-2-18	YN49_2	22	YS24_1	J	J22
1731	D03_allLanes_P	C04_allLanes_P	F06_plate01	006D	M-2-18	OG35_2	21	YS24_1	J	J21
1736	D03_allLanes_P	E11_allLanes_P	G04_plate32	102P	M-1-18	YV93_2	23	YS24_1	J	J23
1751	D03_allLanes_P	G04_allLanes_P	G04_plate05	004Y	M-1-18	YF88_2	25	YS24_1	J	J25
1756	D03_allLanes_P	B07_allLanes_P	G04_plate09	020V	M-1-18	OD53_2	24	YS24_1	J	J24
1766	D03_allLanes_P	B07_allLanes_P	F05_plate11	037I	M-2-15	OD53_2	24	YS24_1	J	J24
1781	D03_allLanes_P	C04_allLanes_P	F04_plate29	087C	M-1-15	OG35_2	21	YS24_1	J	J21
1786	D03_allLanes_P	G04_allLanes_P	F04_plate22	069M	M-1-15	YF88_2	25	YS24_1	J	J25
1791	D03_allLanes_P	E11_allLanes_P	F05_plate20	063W	M-2-15	YV93_2	23	YS24_1	J	J23
1801	D03_allLanes_P	E11_allLanes_P	F06_plate07	022N	M-2-18	YV93_2	23	YS24_1	J	J23
1821	D03_allLanes_P	A06_allLanes_P	F04_plate11	035M	M-1-15	YN49_2	22	YS24_1	J	J22
1826	D03_allLanes_P	E11_allLanes_P	G06_plate01	006E	M-2-18	YV93_2	23	YS24_1	J	J23
1841	D03_allLanes_P	G04_allLanes_P	G05_plate28	103T	M-2-15	YF88_2	25	YS24_1	J	J25
1846	D03_allLanes_P	E11_allLanes_P	G05_plate27	103N	M-2-15	YV93_2	23	YS24_1	J	J23
1856	D03_allLanes_P	G04_allLanes_P	G05_plate03	005O	M-2-15	YF88_2	25	YS24_1	J	J25
1866	D03_allLanes_P	E11_allLanes_P	F05_plate02	005H	M-2-15	YV93_2	23	YS24_1	J	J23
1871	D03_allLanes_P	A06_allLanes_P	F07_plate33	101S	M-1-15	YN49_2	22	YS24_1	J	J22
1876	D03_allLanes_P	E11_allLanes_P	F06_plate05	022B	M-2-18	YV93_2	23	YS24_1	J	J23
1886	D03_allLanes_P	E11_allLanes_P	G04_plate27	086L	M-1-18	YV93_2	23	YS24_1	J	J23
1896	D03_allLanes_P	E11_allLanes_P	G06_plate11	038L	M-2-18	YV93_2	23	YS24_1	J	J23
1911	D03_allLanes_P	E11_allLanes_P	G06_plate14	054D	M-2-18	YV93_2	23	YS24_1	J	J23
1921	D03_allLanes_P	G04_allLanes_P	F05_plate18	053Y	M-2-15	YF88_2	25	YS24_1	J	J25
1931	D03_allLanes_P	E11_allLanes_P	F06_plate06	022H	M-2-18	YV93_2	23	YS24_1	J	J23
1936	D03_allLanes_P	E11_allLanes_P	F06_plate15	054I	M-2-18	YV93_2	23	YS24_1	J	J23
1941	D03_allLanes_P	E11_allLanes_P	F04_plate04	003X	M-1-15	YV93_2	23	YS24_1	J	J23
1951	D03_allLanes_P	C04_allLanes_P	G04_plate02	004G	M-1-18	OG35_2	21	YS24_1	J	J21
1966	D03_allLanes_P	C04_allLanes_P	F04_plate25	085E	M-1-15	OG35_2	21	YS24_1	J	J21
1976	D03_allLanes_P	E11_allLanes_P	F04_plate09	035A	M-1-15	YV93_2	23	YS24_1	J	J23
1991	D03_allLanes_P	E11_allLanes_P	G04_plate22	070I	M-1-18	YV93_2	23	YS24_1	J	J23
2016	D03_allLanes_P	E11_allLanes_P	F04_plate12	035S	M-1-15	YV93_2	23	YS24_1	J	J23
2026	D03_allLanes_P	C04_allLanes_P	G04_plate31	102J	M-1-18	OG35_2	21	YS24_1	J	J21
2031	D03_allLanes_P	G04_allLanes_P	F05_plate29	103Y	M-2-15	YF88_2	25	YS24_1	J	J25
2046	D03_allLanes_P	C04_allLanes_P	G04_plate20	064J	M-1-18	OG35_2	21	YS24_1	J	J21
2051	D03_allLanes_P	G04_allLanes_P	F05_plate05	005Z	M-2-15	YF88_2	25	YS24_1	J	J25
2061	D03_allLanes_P	G04_allLanes_P	F04_plate21	069G	M-1-15	YF88_2	25	YS24_1	J	J25
2081	D03_allLanes_P	C04_allLanes_P	F04_plate07	019O	M-1-15	OG35_2	21	YS24_1	J	J21
2101	D03_allLanes_P	E11_allLanes_P	F05_plate09	021W	M-2-15	YV93_2	23	YS24_1	J	J23
2121	D06_allLanes_P	B05_allLanes_P	G01_plate27	098F	L-1-18	YG88_2	47	OC52_1	S	S47
2131	D06_allLanes_P	B05_allLanes_P	F03_plate28	100V	L-2-18	YG88_2	47	OC52_1	S	S47
2136	D06_allLanes_P	D09_allLanes_P	G03_plate11	034Z	L-2-18	YO65_2	4	OC52_1	S	S4
2151	D06_allLanes_P	C03_allLanes_P	G03_plate16	068D	L-2-18	YJ69_2	48	OC52_1	S	S48
2156	D06_allLanes_P	C03_allLanes_P	G02_plate01	001E	L-2-15	YJ69_2	48	OC52_1	S	S48
2166	D06_allLanes_P	E09_allLanes_P	F03_plate31	116N	L-2-18	YO66_2	49	OC52_1	S	S49
2171	D06_allLanes_P	C03_allLanes_P	F03_plate26	100J	L-2-18	YJ69_2	48	OC52_1	S	S48
2176	D06_allLanes_P	B05_allLanes_P	G02_plate19	067Q	L-2-15	YG88_2	47	OC52_1	S	S47
2191	D06_allLanes_P	E09_allLanes_P	G01_plate07	016Q	L-1-18	YO66_2	49	OC52_1	S	S49
2196	D06_allLanes_P	B05_allLanes_P	G01_plate03	002W	L-1-18	YG88_2	47	OC52_1	S	S47
