Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
956	B04_allLanes_P	E08_allLanes_P	H08_plate25	095Q	H-2-15	OL28_2	41	OF09_1	R	R41
961	B04_allLanes_P	H02_allLanes_P	H08_plate24	095K	H-2-15	YD98_2	43	OF09_1	R	R43
966	B04_allLanes_P	H02_allLanes_P	G07_plate22	078V	H-1-18	YD98_2	43	OF09_1	R	R43
976	B04_allLanes_P	H02_allLanes_P	H07_plate22	078W	H-1-18	YD98_2	43	OF09_1	R	R43
981	B04_allLanes_P	E08_allLanes_P	H09_plate14	062E	H-2-18	OL28_2	41	OF09_1	R	R41
986	B04_allLanes_P	E08_allLanes_P	G09_plate12	046R	H-2-18	OL28_2	41	OF09_1	R	R41
991	B04_allLanes_P	A01_allLanes_P	G08_plate29	111M	H-2-15	YI44_2	45	OF09_1	R	R45
1001	B04_allLanes_P	H02_allLanes_P	G09_plate02	014K	H-2-18	YD98_2	43	OF09_1	R	R43
1011	B04_allLanes_P	A01_allLanes_P	G09_plate33	118M	H-2-18	YI44_2	45	OF09_1	R	R45
1016	B04_allLanes_P	E08_allLanes_P	H07_plate30	110R	H-1-18	OL28_2	41	OF09_1	R	R41
1021	B04_allLanes_P	H02_allLanes_P	H08_plate19	079G	H-2-15	YD98_2	43	OF09_1	R	R43
1031	B04_allLanes_P	E08_allLanes_P	G07_plate27	094Y	H-1-18	OL28_2	41	OF09_1	R	R41
1036	B04_allLanes_P	E08_allLanes_P	G08_plate06	029G	H-2-15	OL28_2	41	OF09_1	R	R41
1046	B04_allLanes_P	E08_allLanes_P	H07_plate23	094C	H-1-18	OL28_2	41	OF09_1	R	R41
1061	B04_allLanes_P	H06_allLanes_P	G09_plate32	118G	H-2-18	OD43_2	42	OF09_1	R	R42
1066	B04_allLanes_P	E08_allLanes_P	G08_plate16	061N	H-2-15	OL28_2	41	OF09_1	R	R41
1076	B04_allLanes_P	H02_allLanes_P	H08_plate06	029H	H-2-15	YD98_2	43	OF09_1	R	R43
1086	B04_allLanes_P	H06_allLanes_P	G08_plate13	045V	H-2-15	OD43_2	42	OF09_1	R	R42
1106	B04_allLanes_P	E08_allLanes_P	H08_plate30	111T	H-2-15	OL28_2	41	OF09_1	R	R41
