Date_Time	Day	Time	Day_Time	Temp	System	Location
2021-06-11 16:00:00	5	16	5.16	14.768	R2_15	egg_chambers
2021-06-11 17:00:00	5	17	5.17	15.079	R2_15	egg_chambers
2021-06-11 18:00:00	5	18	5.18	14.529	R2_15	egg_chambers
2021-06-11 19:00:00	5	19	5.19	15.151	R2_15	egg_chambers
2021-06-11 20:00:00	5	20	5.20	14.553	R2_15	egg_chambers
2021-06-11 21:00:00	5	21	5.21	14.864	R2_15	egg_chambers
2021-06-11 22:00:00	5	22	5.22	14.649	R2_15	egg_chambers
2021-06-11 23:00:00	5	23	5.23	14.745	R2_15	egg_chambers
2021-06-12 00:00:00	5	24	5.24	14.936	R2_15	egg_chambers
2021-06-12 01:00:00	6	1	6.1	14.553	R2_15	egg_chambers
2021-06-12 02:00:00	6	2	6.2	15.127	R2_15	egg_chambers
2021-06-12 03:00:00	6	3	6.3	14.361	R2_15	egg_chambers
2021-06-12 04:00:00	6	4	6.4	14.936	R2_15	egg_chambers
2021-06-12 05:00:00	6	5	6.5	14.625	R2_15	egg_chambers
2021-06-12 06:00:00	6	6	6.6	14.697	R2_15	egg_chambers
2021-06-12 07:00:00	6	7	6.7	15.175	R2_15	egg_chambers
2021-06-12 08:00:00	6	8	6.8	14.457	R2_15	egg_chambers
2021-06-12 09:00:00	6	9	6.9	15.318	R2_15	egg_chambers
2021-06-12 10:00:00	6	10	6.10	15.175	R2_15	egg_chambers
2021-06-12 11:00:00	6	11	6.11	14.745	R2_15	egg_chambers
2021-06-12 12:00:00	6	12	6.12	15.438	R2_15	egg_chambers
2021-06-12 13:00:00	6	13	6.13	14.864	R2_15	egg_chambers
2021-06-12 14:00:00	6	14	6.14	14.816	R2_15	egg_chambers
2021-06-12 15:00:00	6	15	6.15	15.39	R2_15	egg_chambers
2021-06-12 16:00:00	6	16	6.16	14.936	R2_15	egg_chambers
2021-06-12 17:00:00	6	17	6.17	14.816	R2_15	egg_chambers
2021-06-12 18:00:00	6	18	6.18	15.461	R2_15	egg_chambers
2021-06-12 19:00:00	6	19	6.19	15.008	R2_15	egg_chambers
2021-06-12 20:00:00	6	20	6.20	14.649	R2_15	egg_chambers
2021-06-12 21:00:00	6	21	6.21	15.485	R2_15	egg_chambers
2021-06-12 22:00:00	6	22	6.22	14.792	R2_15	egg_chambers
2021-06-12 23:00:00	6	23	6.23	15.008	R2_15	egg_chambers
2021-06-13 00:00:00	6	24	6.24	15.031	R2_15	egg_chambers
2021-06-13 01:00:00	7	1	7.1	14.792	R2_15	egg_chambers
2021-06-13 02:00:00	7	2	7.2	15.39	R2_15	egg_chambers
2021-06-13 03:00:00	7	3	7.3	14.481	R2_15	egg_chambers
2021-06-13 04:00:00	7	4	7.4	15.103	R2_15	egg_chambers
2021-06-13 05:00:00	7	5	7.5	14.84	R2_15	egg_chambers
2021-06-13 06:00:00	7	6	7.6	14.864	R2_15	egg_chambers
2021-06-13 07:00:00	7	7	7.7	15.39	R2_15	egg_chambers
2021-06-13 08:00:00	7	8	7.8	14.577	R2_15	egg_chambers
2021-06-13 09:00:00	7	9	7.9	15.199	R2_15	egg_chambers
2021-06-13 10:00:00	7	10	7.10	15.318	R2_15	egg_chambers
2021-06-13 11:00:00	7	11	7.11	14.768	R2_15	egg_chambers
2021-06-13 12:00:00	7	12	7.12	15.414	R2_15	egg_chambers
2021-06-13 13:00:00	7	13	7.13	14.888	R2_15	egg_chambers
2021-06-13 14:00:00	7	14	7.14	15.008	R2_15	egg_chambers
2021-06-13 15:00:00	7	15	7.15	15.318	R2_15	egg_chambers
2021-06-13 16:00:00	7	16	7.16	14.745	R2_15	egg_chambers
2021-06-13 17:00:00	7	17	7.17	15.294	R2_15	egg_chambers
2021-06-13 18:00:00	7	18	7.18	15.127	R2_15	egg_chambers
2021-06-13 19:00:00	7	19	7.19	14.673	R2_15	egg_chambers
2021-06-13 20:00:00	7	20	7.20	15.461	R2_15	egg_chambers
2021-06-13 21:00:00	7	21	7.21	14.768	R2_15	egg_chambers
2021-06-13 22:00:00	7	22	7.22	15.031	R2_15	egg_chambers
2021-06-13 23:00:00	7	23	7.23	15.008	R2_15	egg_chambers
2021-06-14 00:00:00	7	24	7.24	14.792	R2_15	egg_chambers
2021-06-14 01:00:00	8	1	8.1	15.39	R2_15	egg_chambers
2021-06-14 02:00:00	8	2	8.2	14.553	R2_15	egg_chambers
2021-06-14 03:00:00	8	3	8.3	15.151	R2_15	egg_chambers
2021-06-14 04:00:00	8	4	8.4	14.792	R2_15	egg_chambers
