animal	sire	dam
077Q	OD43_2	YK83_1
077R	YD98_2	OF09_1
077U	OH33_2	YP37_1
077V	YD53_2	OF09_1
077Y	YD98_2	OF09_1
077Z	YD22_2	YP37_1
078A	YX56_2	YP37_1
078D	YD98_2	YK83_1
078E	OL28_2	YK83_1
078F	OL28_2	OF09_1
078G	YD53_2	YK83_1
078H	OD51_2	YL85_1
078I	YI44_2	OF09_1
078J	YI44_2	YK83_1
078K	YI44_2	OF09_1
078L	YD98_2	OF09_1
078M	YD98_2	OF09_1
078N	YI44_2	YK83_1
078O	YX56_2	YP37_1
078Q	OV17_2	YP37_1
078R	YD53_2	YK83_1
078T	YI44_2	OF09_1
078U	YD22_2	YP37_1
078V	YD98_2	OF09_1
078W	YD98_2	OF09_1
078X	OL28_2	YK83_1
078Y	YD98_2	YK83_1
078Z	YD53_2	YK83_1
079A	YD98_2	OF09_1
079B	YD53_2	OF09_1
079D	OG61_2	YL85_1
079F	YD22_2	YP37_1
079G	YD98_2	OF09_1
079H	YD98_2	YK83_1
079I	OD43_2	OF09_1
079J	OH33_2	YP37_1
079K	OD43_2	YK83_1
079L	OD43_2	YK83_1
079M	YI44_2	OF09_1
079N	YD98_2	OF09_1
079O	YD98_2	YK83_1
079P	YX56_2	YP37_1
079Q	YD22_2	YP37_1
079R	YI44_2	OF09_1
079T	OL28_2	OF09_1
079U	YX56_2	YP37_1
079V	YD53_2	YK83_1
079W	YG95_2	YL85_1
079Y	YD98_2	YK83_1
080A	YI44_2	YK83_1
080B	OG61_2	YL85_1
080C	YD53_2	YK83_1
080D	YD98_2	YK83_1
080E	OD51_2	YN45_1
080F	YI44_2	OF09_1
080G	YD53_2	YK83_1
080I	OG61_2	YN45_1
080J	OD43_2	YK83_1
080K	YD98_2	OF09_1
080L	YD98_2	YK83_1
080M	OD51_2	YN45_1
080N	OD43_2	YK83_1
080O	OL28_2	YK83_1
080P	YD53_2	YK83_1
080Q	OL28_2	OF09_1
080R	YX56_2	YP37_1
080S	OL28_2	OF09_1
080T	YD53_2	OF09_1
080U	OL28_2	YK83_1
080V	YD98_2	YK83_1
080W	OG61_2	YL85_1
080X	OD51_2	YL85_1
080Y	YD98_2	YK83_1
080Z	OD43_2	OF09_1
081A	OS12_2	YJ60_1
081B	YG97_2	YJ60_1
081C	OC64_2	YG81_1
081D	YN92_2	YJ60_1
081E	YN92_2	YG81_1
081F	OG58_2	YX87_1
081H	YJ88_2	YT86_1
081I	OH34_2	OG13_1
081J	YG97_2	YG81_1
081K	YO96_2	YJ60_1
081L	YG88_2	YX87_1
081M	OC64_2	YG81_1
081N	OH34_2	OF45_1
081P	OG59_2	YT86_1
081Q	OS12_2	YG81_1
081R	OH34_2	OF45_1
081S	OG59_2	OC50_1
081T	YO99_2	YT86_1
081U	YJ88_2	YT86_1
081V	YG96_2	YT86_1
081W	YO96_2	YJ60_1
081X	YO96_2	YG81_1
081Y	YJ48_2	OG13_1
081Z	OC64_2	YJ60_1
082A	YG96_2	YT86_1
082B	YT35_2	YT86_1
082C	YO96_2	YJ60_1
082D	OS12_2	YG81_1
082E	YJ48_2	OG13_1
082F	YJ48_2	OG13_1
082G	OH34_2	OF45_1
082H	YG97_2	YG81_1
082I	OH34_2	OG13_1
082J	YJ88_2	YT86_1
082K	YG97_2	YJ60_1
082L	OC64_2	YG81_1
082M	OC64_2	YG81_1
082N	YO96_2	YG81_1
082O	OS12_2	YG81_1
082P	YO66_2	YX87_1
082Q	YO66_2	YX87_1
082R	YG88_2	OC52_1
082S	OS12_2	YJ60_1
082U	YO96_2	YJ60_1
082V	OH34_2	OF45_1
082W	OS12_2	YG81_1
082X	YO96_2	YG81_1
082Y	OC64_2	YG81_1
082Z	YO66_2	OC52_1
083A	YG97_2	YG81_1
083B	OC64_2	YG81_1
083C	OS12_2	YG81_1
083D	OH34_2	OF45_1
083E	YO99_2	YT86_1
083F	YJ69_2	OC52_1
083G	YG97_2	YJ60_1
083H	YG97_2	YJ60_1
083I	YJ48_2	OG13_1
083J	OH34_2	OG13_1
083K	YG96_2	YT86_1
083L	YO99_2	OC50_1
083M	YG97_2	YG81_1
083N	YG88_2	OC52_1
083O	OD42_2	YS77_1
083P	OC64_2	YG81_1
083Q	YO96_2	YG81_1
083R	OS12_2	YJ60_1
083T	YJ48_2	OG13_1
083U	OC64_2	YG81_1
083V	YO65_2	YX87_1
083W	YG97_2	YJ60_1
083X	YJ69_2	OC52_1
083Y	YO96_2	YJ60_1
083Z	YG88_2	OC52_1
084A	YG97_2	YG81_1
084B	OC64_2	YJ60_1
084C	OC64_2	YG81_1
084D	OS12_2	YJ60_1
084E	OC64_2	YJ60_1
084F	OC64_2	YG81_1
084G	YJ48_2	OG13_1
084H	OS12_2	YG81_1
084I	YG97_2	YJ60_1
084J	YJ48_2	OF45_1
084K	YO99_2	YT86_1
084L	YG88_2	YX87_1
084M	YG97_2	YJ60_1
084N	OH34_2	OG13_1
084O	OS12_2	YG81_1
084P	YO96_2	YG81_1
084Q	YO66_2	OC52_1
084R	OH34_2	OF45_1
084S	OC64_2	YJ60_1
084T	YJ69_2	OC52_1
084U	OH34_2	OF45_1
084W	YG88_2	YX87_1
084X	OC64_2	YG81_1
084Y	YG88_2	YX87_1
084Z	YG88_2	OC52_1
085A	YV93_2	YR31_1
085B	YV93_2	YR31_1
085C	YH28_2	YX21_1
085D	YV94_2	OG13_1
085E	OG35_2	YS24_1
085F	YN49_2	YR31_1
085G	OG35_2	YR31_1
085I	YN49_2	YS24_1
085J	OG35_2	YS24_1
085L	OG35_2	YS24_1
085M	YF88_2	YR31_1
085N	YF30_2	YV88_1
085O	YV93_2	YS24_1
085P	YV93_2	YR31_1
085Q	YN49_2	YR31_1
085R	OJ16_2	OF45_1
085S	YL69_2	OG13_1
085T	YN49_2	YR31_1
085U	OG51_2	YV88_1
085V	OG35_2	YR31_1
085W	YV94_2	OF45_1
085X	YV94_2	OG13_1
085Y	OG35_2	YS24_1
085Z	YF88_2	YS24_1
086A	YF30_2	YX21_1
086B	YH28_2	YX21_1
086C	OG35_2	YS24_1
086D	YN49_2	YS24_1
086E	YL69_2	OG13_1
086F	YH28_2	YV88_1
086G	YH28_2	YV88_1
086H	YF30_2	YX21_1
086I	YV93_2	YS24_1
086J	YV93_2	YS24_1
086K	OF56_2	YX21_1
086L	YV93_2	YS24_1
086M	YV93_2	YS24_1
086N	YV93_2	YS24_1
086O	OG35_2	YS24_1
086P	OF56_2	YX21_1
086Q	YV94_2	OF45_1
086R	OG35_2	YR31_1
086T	YH28_2	YX21_1
086U	OD53_2	YR31_1
086V	OG35_2	YR31_1
086W	YN49_2	YR31_1
086X	YL69_2	OF45_1
086Y	YF30_2	YV88_1
086Z	YL69_2	OG13_1
087A	YN49_2	YR31_1
087B	OG51_2	YV88_1
087C	OG35_2	YS24_1
087E	OJ16_2	OF45_1
087F	OD53_2	YS24_1
087G	YV94_2	OF45_1
087H	YV94_2	OF45_1
087I	OG51_2	YV88_1
087J	OF56_2	YV88_1
087K	YV93_2	YS24_1
087L	YL69_2	OG13_1
087M	OJ16_2	OF45_1
087N	YF30_2	YX21_1
087O	OF56_2	YV88_1
087P	YL69_2	OF45_1
087Q	YV93_2	YR31_1
087R	YH28_2	YX21_1
087S	YF30_2	YX21_1
087T	YN49_2	YS24_1
087U	OG51_2	YV88_1
087V	YL69_2	OF45_1
087W	YN49_2	YR31_1
087X	YV93_2	YR31_1
087Y	YL69_2	OG13_1
087Z	OG51_2	YV88_1
088B	YV94_2	OF45_1
088C	YN49_2	YR31_1
088E	YV94_2	OF45_1
088F	OG51_2	YV88_1
088G	YF30_2	YX21_1
088H	YV93_2	YS24_1
088I	YV94_2	OF45_1
088J	YH28_2	YX21_1
088K	YV94_2	OF45_1
088L	OD53_2	YR31_1
088M	YV93_2	YS24_1
088O	YV94_2	OF45_1
088P	OF56_2	YV88_1
088Q	YV94_2	OG13_1
088R	YV94_2	OG13_1
088T	YV94_2	OG13_1
088U	YH28_2	YV88_1
088V	YF30_2	YX21_1
088W	YH28_2	YX21_1
088X	YF30_2	YV88_1
088Y	YV93_2	YR31_1
088Z	OG51_2	YV88_1
089B	OG53_2	YK96_1
089D	OG53_2	YK96_1
089E	YG06_2	YV27_1
089F	OG53_2	YK96_1
089G	OS02_2	YK96_1
089H	OD19_2	YK96_1
089I	YR84_2	YV27_1
089J	OL28_2	YK83_1
089L	OG53_2	YK96_1
089M	OD19_2	YK96_1
089N	YS90_2	OF06_1
089O	YT79_2	OF06_1
089P	YR84_2	YV27_1
089Q	OD19_2	YK96_1
089R	OS02_2	YK96_1
089U	OS02_2	YK96_1
089V	YT79_2	OF06_1
089W	YI06_2	OF06_1
089X	YI06_2	OF06_1
089Y	YR82_2	YV27_1
089Z	OO53_2	YV27_1
090A	YS90_2	OF06_1
090B	YI06_2	YG60_1
090C	OH33_2	OC05_1
090E	YR54_2	YK96_1
090F	YG06_2	YV27_1
090G	YS90_2	YG60_1
090H	OD19_2	YK96_1
090I	OF65_2	YG60_1
090J	OD19_2	YK96_1
090K	OO53_2	YV27_1
090L	YS90_2	OF06_1
090M	YR82_2	YV27_1
090O	YR82_2	YV27_1
090P	YT79_2	OF06_1
090Q	OS02_2	YK96_1
090R	YG06_2	YV27_1
090S	OD19_2	YK96_1
090T	OF65_2	OF06_1
090U	OD19_2	YK96_1
090V	OH33_2	OC05_1
090W	YT79_2	OF06_1
090X	YT79_2	OF06_1
090Y	YR82_2	YV27_1
090Z	YR82_2	YV27_1
091A	YR82_2	YV27_1
091F	OH33_2	OC05_1
091G	YR84_2	YV27_1
091H	YR84_2	YV27_1
091I	YG06_2	YV27_1
091K	YG06_2	YV27_1
091L	OL26_2	YG60_1
091M	YG06_2	YV27_1
091N	OG53_2	YK96_1
091Q	YT79_2	OF06_1
091S	OJ25_2	YK96_1
091U	OL26_2	OF06_1
091V	YR84_2	YV27_1
091X	YR84_2	YV27_1
091Y	OF65_2	YG60_1
091Z	YG06_2	YV27_1
092B	YS90_2	OF06_1
092E	YS90_2	YG60_1
092F	YI06_2	YG60_1
092G	OS02_2	YK96_1
092H	OS02_2	YK96_1
092I	OF65_2	YG60_1
092J	OF65_2	OF06_1
092K	YR84_2	YV27_1
092L	YR84_2	YV27_1
092M	OF65_2	OF06_1
092N	YR82_2	YV27_1
092O	OO53_2	YV27_1
092Q	OL26_2	OF06_1
092S	OF65_2	OF06_1
092T	YS90_2	YG60_1
092U	OF65_2	OF06_1
092V	OH33_2	OC05_1
092W	OO53_2	YV27_1
092X	OS02_2	YK96_1
092Y	YG06_2	YV27_1
092Z	YR54_2	YK96_1
093A	YI44_2	YK83_1
093B	OF65_2	YG60_1
093D	OD43_2	YK83_1
093E	OH33_2	YP37_1
093F	OL28_2	YK83_1
093G	YD98_2	OF09_1
093H	YD98_2	YK83_1
093I	YD53_2	OF09_1
093J	OL28_2	OF09_1
093K	YA99_2	YN45_1
093L	OD43_2	YK83_1
093N	OD43_2	YK83_1
093O	YD98_2	YK83_1
093Q	OL28_2	OF09_1
093R	OL28_2	OF09_1
093S	YD98_2	OF09_1
093T	OD51_2	YL85_1
093U	YD98_2	YK83_1
093V	OV17_2	YP37_1
093X	YD53_2	YK83_1
093Z	OD43_2	OF09_1
094B	YD53_2	YK83_1
094C	OL28_2	OF09_1
094D	YD22_2	YP37_1
094E	YD98_2	YK83_1
094F	OL28_2	OF09_1
094G	OL28_2	YK83_1
094H	OL28_2	OF09_1
094I	OD43_2	YK83_1
094J	YI44_2	YK83_1
094K	YD98_2	YK83_1
094L	YD98_2	OF09_1
094M	YD98_2	OF09_1
094N	OV17_2	YP37_1
094O	OH33_2	YP37_1
094P	OL28_2	YK83_1
094Q	YD98_2	YK83_1
094R	OD43_2	YK83_1
094S	OH33_2	YP37_1
094T	YD22_2	YP37_1
094U	YA99_2	YN45_1
094V	OD43_2	OF09_1
094W	OL28_2	OF09_1
094Y	OL28_2	OF09_1
094Z	YX56_2	YP37_1
095B	YD22_2	YP37_1
095C	YD53_2	YK83_1
095D	YX56_2	YP37_1
095E	OD43_2	YK83_1
095F	OD43_2	OF09_1
095G	YI44_2	YK83_1
095H	YD98_2	OF09_1
095I	YX56_2	YP37_1
095J	OD43_2	OF09_1
095K	YD98_2	OF09_1
095L	OL28_2	YK83_1
095M	YD22_2	YP37_1
095N	OD43_2	OF09_1
095Q	OL28_2	OF09_1
095R	YD22_2	YP37_1
095S	YD53_2	YK83_1
095T	OD43_2	OF09_1
095U	YD98_2	OF09_1
095V	YG95_2	YL85_1
095W	YX56_2	YP37_1
095X	YD53_2	OF09_1
095Z	OL28_2	OF09_1
096A	YI44_2	YK83_1
096B	YG95_2	YL85_1
096C	YD98_2	OF09_1
096D	OD43_2	OF09_1
096F	OL28_2	OF09_1
096G	YA99_2	YN45_1
096H	YI44_2	YK83_1
096I	OL28_2	YK83_1
096J	YX56_2	YP37_1
096K	OL28_2	YK83_1
096L	OL28_2	OF09_1
096M	OD43_2	YK83_1
096O	OD43_2	YK83_1
096P	OD43_2	YK83_1
096Q	OD43_2	OF09_1
096R	OL28_2	YK83_1
096T	OL28_2	YK83_1
096U	YD98_2	OF09_1
096V	YD98_2	YK83_1
096W	OG61_2	YL85_1
096X	YI44_2	OF09_1
096Z	OG61_2	YL85_1
097A	YG97_2	YG81_1
097B	OG58_2	OC52_1
097C	OG59_2	YT86_1
097D	OC64_2	YJ60_1
097E	OH34_2	OG13_1
097F	OS12_2	YG81_1
097G	YG97_2	YG81_1
097H	YG97_2	YG81_1
097I	YO96_2	YJ60_1
097J	OD42_2	OS14_1
097K	YG88_2	YX87_1
097L	OH34_2	OG13_1
097M	YJ69_2	OC52_1
097N	YJ69_2	YX87_1
097O	OC64_2	YJ60_1
097P	OC64_2	YG81_1
097Q	YO96_2	YJ60_1
097R	YG88_2	OC52_1
097S	OS12_2	YG81_1
097T	YG84_2	OS14_1
097U	YO96_2	YJ60_1
097V	OG58_2	OC52_1
097W	YO96_2	YG81_1
097X	OS12_2	YJ60_1
097Y	OH34_2	OF45_1
097Z	OS12_2	YG81_1
098A	YG97_2	YJ60_1
098B	YG97_2	YG81_1
098D	YT35_2	YT86_1
098E	YO65_2	OC52_1
098F	YG88_2	OC52_1
098G	YJ88_2	YT86_1
098H	YG88_2	OC52_1
098I	YG88_2	OC52_1
098J	YJ48_2	OF45_1
098K	YG97_2	YJ60_1
098L	YO65_2	YX87_1
098M	YO66_2	OC52_1
098N	OH34_2	OG13_1
098O	YO65_2	OC52_1
098P	OH34_2	OF45_1
098Q	YO96_2	YJ60_1
098R	YN92_2	YJ60_1
098S	OH34_2	OG13_1
098T	OH34_2	OG13_1
098U	YG97_2	YJ60_1
098V	OH34_2	OG13_1
098W	YG88_2	OC52_1
098X	OC64_2	YJ60_1
098Y	YG97_2	YJ60_1
098Z	OH34_2	OG13_1
099A	YJ88_2	YT86_1
099B	OH34_2	OG13_1
099C	YG96_2	YT86_1
099D	YG88_2	OC52_1
099E	YN92_2	YJ60_1
099F	OC64_2	YJ60_1
099G	YJ88_2	YT86_1
099H	OC64_2	YJ60_1
099I	OD42_2	OS14_1
099J	YG96_2	YT86_1
099K	OC64_2	YJ60_1
099L	YO96_2	YG81_1
099M	OS12_2	YG81_1
099N	OS12_2	YG81_1
099O	YG96_2	YT86_1
099P	OC64_2	YG81_1
099Q	YO65_2	OC52_1
099R	YT35_2	YT86_1
099S	YO96_2	YJ60_1
099T	OC64_2	YJ60_1
099U	OC64_2	YJ60_1
099V	YG88_2	YX87_1
099W	OH34_2	OG13_1
099X	OS12_2	YJ60_1
099Y	OS12_2	YJ60_1
099Z	YJ48_2	OF45_1
100A	YJ69_2	YX87_1
100B	YO65_2	YX87_1
100C	YG88_2	OC52_1
100D	YJ48_2	OF45_1
100E	YG97_2	YG81_1
100F	YO66_2	OC52_1
100G	YO65_2	OC52_1
100H	YJ48_2	OG13_1
100I	OC64_2	YJ60_1
100J	YJ69_2	OC52_1
100K	OH34_2	OG13_1
100L	YO99_2	YT86_1
100M	YO99_2	YT86_1
100N	OH34_2	OG13_1
100O	OH34_2	OG13_1
100P	OS12_2	YJ60_1
100Q	YO96_2	YJ60_1
100R	YO96_2	YG81_1
100S	YJ48_2	OF45_1
100T	OG58_2	YX87_1
100U	YO65_2	OC52_1
100V	YG88_2	OC52_1
100W	YG88_2	YX87_1
100X	OS12_2	YJ60_1
100Y	YG97_2	YG81_1
100Z	YG97_2	YJ60_1
101A	YL69_2	OF45_1
101B	YV94_2	OG13_1
101D	OG51_2	YX21_1
101E	YN49_2	YR31_1
101F	YN49_2	YS24_1
101G	YN49_2	YR31_1
101H	YN49_2	YS24_1
101I	YV94_2	OF45_1
101J	YH28_2	YV88_1
101K	YF88_2	YS24_1
101L	OF56_2	YV88_1
101M	YV94_2	OF45_1
101N	YL69_2	OG13_1
101O	YL69_2	OF45_1
101Q	YV94_2	OF45_1
101R	OG35_2	YS24_1
101S	YN49_2	YS24_1
101T	OF56_2	YX21_1
101U	YF30_2	YX21_1
101V	OG35_2	YS24_1
101W	YV93_2	YR31_1
101X	YN49_2	YS24_1
102B	OG51_2	YV88_1
102D	YV94_2	OF45_1
102E	OG51_2	YV88_1
102F	YV93_2	YS24_1
102G	YV93_2	YR31_1
102H	YV93_2	YR31_1
102J	OG35_2	YS24_1
102K	YV93_2	YS24_1
102L	YH28_2	YV88_1
102M	YH28_2	YV88_1
102N	YV94_2	OG13_1
102O	OD53_2	YR31_1
102P	YV93_2	YS24_1
102Q	OD53_2	YR31_1
102R	YH28_2	YV88_1
102S	YH28_2	YX21_1
102T	YV94_2	OG13_1
102V	OF56_2	YX21_1
102X	YF88_2	YS24_1
102Y	YN49_2	YR31_1
102Z	YH28_2	YV88_1
103A	YH28_2	YX21_1
103B	YH28_2	YV88_1
103C	OG51_2	YV88_1
103D	YL69_2	OG13_1
103E	YL69_2	OF45_1
103F	YN49_2	YR31_1
103G	YF30_2	YV88_1
103H	YF88_2	YR31_1
103I	YF88_2	YR31_1
103J	OG35_2	YR31_1
103K	YV93_2	YS24_1
103L	YF30_2	YX21_1
103M	YV94_2	OF45_1
103N	YV93_2	YS24_1
103O	YF88_2	YR31_1
103P	OD53_2	YS24_1
103Q	YL69_2	OF45_1
103S	YV94_2	OF45_1
103T	YF88_2	YS24_1
103U	YV94_2	OG13_1
103V	OJ16_2	OF45_1
103W	YV93_2	YR31_1
103X	YF88_2	YS24_1
103Y	YF88_2	YS24_1
104A	YV94_2	OF45_1
104C	YF30_2	YX21_1
104D	YF88_2	YR31_1
104E	YH28_2	YV88_1
104F	YV93_2	YR31_1
104G	YH28_2	YX21_1
104H	YF30_2	YV88_1
104I	OF56_2	YV88_1
104J	OG35_2	YR31_1
104K	YH28_2	YV88_1
104L	YF30_2	YX21_1
104M	OJ16_2	OG13_1
104O	YL69_2	OG13_1
104P	OG51_2	YV88_1
104Q	OG51_2	YV88_1
104R	YL69_2	OG13_1
104S	YL69_2	OG13_1
104T	YF30_2	YV88_1
104U	YV93_2	YS24_1
104V	YV94_2	OF45_1
104W	YH28_2	YV88_1
104X	YH28_2	YV88_1
104Y	YV93_2	YR31_1
104Z	YV93_2	YS24_1
105A	YR82_2	YV27_1
105B	YS90_2	OF06_1
105C	YI06_2	OF06_1
105D	YG06_2	YV27_1
105F	OD19_2	YK96_1
105G	YI06_2	OF06_1
105H	YR84_2	YV27_1
105I	OF65_2	OF06_1
105J	YT79_2	OF06_1
105K	YR84_2	YV27_1
105L	OL26_2	OF06_1
105M	OL26_2	YG60_1
105N	OF65_2	OF06_1
105O	YR54_2	YK96_1
105P	OF65_2	OF06_1
105R	YT79_2	YG60_1
105T	YI06_2	OF06_1
105U	OL26_2	OF06_1
105W	OS02_2	YK96_1
105X	OF65_2	OF06_1
105Y	OF65_2	YG60_1
105Z	OL26_2	OF06_1
106A	OF65_2	OF06_1
106B	OG53_2	YK96_1
106C	OL26_2	OF06_1
106E	OD19_2	YK96_1
106F	OH33_2	OC05_1
106H	YR84_2	YV27_1
106I	OS02_2	YK96_1
106K	YT79_2	OF06_1
106L	OF65_2	OF06_1
106M	OL26_2	YG60_1
106N	YG06_2	YV27_1
106O	OF65_2	OF06_1
106P	OH33_2	OC05_1
106R	YG06_2	YV27_1
106T	YI06_2	YG60_1
106U	OS02_2	YK96_1
106X	OD19_2	YK96_1
106Z	OG53_2	YK96_1
107A	OS02_2	YK96_1
107B	OD19_2	YK96_1
107D	YR54_2	YK96_1
107F	YR82_2	YV27_1
107G	OO53_2	YV27_1
107K	OL26_2	YG60_1
107M	OS02_2	YK96_1
107P	YG06_2	YV27_1
107Q	OO53_2	YV27_1
107S	YG06_2	YV27_1
107T	OG53_2	YK96_1
107U	YT79_2	YG60_1
107W	YT79_2	YG60_1
107X	OS02_2	YK96_1
107Y	YR82_2	YV27_1
108A	OF65_2	OF06_1
108B	OD19_2	YK96_1
108C	OD19_2	YK96_1
108D	OD19_2	YK96_1
108F	YG06_2	YV27_1
108G	OO53_2	YV27_1
108H	YS90_2	YG60_1
108I	OS02_2	YK96_1
108J	OD19_2	YK96_1
108K	YR84_2	YV27_1
108L	OJ25_2	YK96_1
108M	OG53_2	YK96_1
108N	YR82_2	YV27_1
108O	YS90_2	OF06_1
108P	YI06_2	YG60_1
108Q	OG53_2	YK96_1
108R	YG06_2	YV27_1
108S	YS90_2	OF06_1
108T	YS90_2	OF06_1
108V	YR54_2	YK96_1
108W	OG35_2	YR31_1
108X	YT79_2	OF06_1
108Y	YI06_2	OF06_1
108Z	OJ25_2	YK96_1
109A	OH33_2	YP37_1
109B	OD51_2	YN45_1
109C	YD22_2	YP37_1
109E	YD22_2	YP37_1
109F	YD22_2	YP37_1
109G	YD53_2	OF09_1
109H	YA99_2	YN45_1
109I	YD53_2	OF09_1
109J	OL28_2	OF09_1
109K	YD98_2	OF09_1
109L	YD22_2	YP37_1
109M	OD43_2	YK83_1
109O	YA99_2	YL85_1
109Q	OG61_2	YL85_1
109S	YA99_2	YL85_1
109T	YD53_2	OF09_1
109U	YD53_2	YK83_1
109V	YI44_2	YK83_1
109W	OV17_2	YP37_1
109Y	YD98_2	OF09_1
109Z	YX56_2	YP37_1
110A	OD43_2	YK83_1
110B	YD98_2	OF09_1
110D	YD53_2	OF09_1
110E	OL28_2	OF09_1
110F	OD43_2	OF09_1
110G	YI44_2	YK83_1
110I	YA99_2	YN45_1
110J	YD53_2	YK83_1
110K	YD22_2	YP37_1
110M	OD43_2	OF09_1
110N	OV17_2	YP37_1
110O	YI44_2	YK83_1
110P	YI44_2	OF09_1
110R	OL28_2	OF09_1
110S	OD51_2	YN45_1
110T	OD43_2	OF09_1
110U	OV17_2	YP37_1
110V	YG95_2	YL85_1
110W	OG61_2	YN45_1
110X	YG95_2	YL85_1
110Y	OL28_2	OF09_1
110Z	YD53_2	YK83_1
111B	OL28_2	YK83_1
111C	OD43_2	OF09_1
111D	OV17_2	YP37_1
111E	YG95_2	YL85_1
111F	YI44_2	OF09_1
111I	OD43_2	OF09_1
111J	OV17_2	YP37_1
111K	OL28_2	YK83_1
111L	YD53_2	OF09_1
111M	YI44_2	OF09_1
111N	OV17_2	YP37_1
111P	OH33_2	YP37_1
111R	YD22_2	YP37_1
111S	YI44_2	OF09_1
111T	OL28_2	OF09_1
111U	OD43_2	OF09_1
111V	OL28_2	OF09_1
111W	OL28_2	YK83_1
111Y	YD98_2	YK83_1
111Z	YD98_2	OF09_1
112A	OL28_2	YK83_1
112B	OD43_2	OF09_1
112C	YI44_2	YK83_1
112E	YX56_2	YP37_1
112F	OD51_2	YN45_1
112G	OL28_2	OF09_1
112H	YG95_2	YL85_1
112I	YD98_2	YK83_1
112J	OD43_2	OF09_1
112K	YA99_2	YL85_1
112L	OD43_2	OF09_1
112N	OV17_2	YP37_1
112O	OH33_2	YP37_1
112P	YX56_2	YP37_1
112Q	YD53_2	YK83_1
112R	YD53_2	YK83_1
112S	OV17_2	YP37_1
112U	YI44_2	YK83_1
112V	YD98_2	OF09_1
112W	OH33_2	YP37_1
112X	YI44_2	OF09_1
112Y	YD53_2	YK83_1
112Z	YI44_2	OF09_1
113A	OG59_2	YT86_1
113B	YO96_2	YG81_1
113C	YN92_2	YJ60_1
113D	OH34_2	OF45_1
113E	OC64_2	YJ60_1
113F	OS12_2	YJ60_1
113G	OC64_2	YG81_1
113H	YJ88_2	YT86_1
113I	OH34_2	OG13_1
113J	OH34_2	OG13_1
113K	YG97_2	YJ60_1
113M	YN92_2	YJ60_1
113N	YJ48_2	OG13_1
113O	YN92_2	YG81_1
113P	YG88_2	YX87_1
113Q	OG58_2	YX87_1
113R	YG97_2	YJ60_1
113T	YJ48_2	OG13_1
113U	YJ69_2	OC52_1
113V	YR54_2	YK96_1
113W	OS12_2	YG81_1
113Y	YG88_2	YX87_1
114A	YO96_2	YJ60_1
114C	YT35_2	YT86_1
114D	YO96_2	YG81_1
114E	OG58_2	OC52_1
114F	OH34_2	OF45_1
114G	OC64_2	YG81_1
114H	YG97_2	YJ60_1
114I	YG97_2	YJ60_1
114J	YJ48_2	OG13_1
114M	YJ48_2	OG13_1
114N	YG88_2	OC52_1
114O	YO66_2	OC52_1
114P	YG97_2	YJ60_1
114Q	OH34_2	OG13_1
114R	YO66_2	OC52_1
114S	YO96_2	YJ60_1
114T	YJ48_2	OG13_1
114U	YG97_2	YG81_1
114V	YG97_2	YJ60_1
114W	OS12_2	YG81_1
114X	YG97_2	YJ60_1
114Y	YG88_2	YX87_1
115A	YG88_2	OC52_1
115B	OS12_2	YG81_1
115C	YG88_2	OC52_1
115D	OG58_2	OC52_1
115E	OS12_2	YG81_1
115F	YJ48_2	OF45_1
115H	OG59_2	YT86_1
115I	OH34_2	OG13_1
115J	YT35_2	YT86_1
115K	YN92_2	YJ60_1
115L	OH34_2	OG13_1
115M	OH34_2	OF45_1
115N	YJ48_2	OG13_1
115O	OS12_2	YG81_1
115P	OD42_2	YS77_1
115Q	YG88_2	OC52_1
115R	OS12_2	YG81_1
115S	YO99_2	YT86_1
115U	YG88_2	OC52_1
115X	OH34_2	OF45_1
115Y	YJ69_2	OC52_1
115Z	OC64_2	YG81_1
116A	OS12_2	YJ60_1
116B	YT35_2	YT86_1
116C	OH34_2	OG13_1
116D	YO96_2	YJ60_1
116E	YO66_2	YX87_1
116F	OC64_2	YJ60_1
116G	YV94_2	OF45_1
116H	YG88_2	YX87_1
116I	OC64_2	YJ60_1
116J	YO96_2	YG81_1
116K	OS12_2	YG81_1
116L	YG97_2	YJ60_1
116M	YG88_2	OC52_1
116N	YO66_2	OC52_1
116P	YO99_2	YT86_1
116Q	OS12_2	YJ60_1
116R	OS12_2	YJ60_1
116S	OH34_2	OG13_1
116T	YG97_2	YG81_1
116U	OC64_2	YJ60_1
116V	OS12_2	YG81_1
116W	YN92_2	YG81_1
116X	OS12_2	YJ60_1
116Y	YN92_2	YG81_1
116Z	YG97_2	YJ60_1
117A	YG95_2	YL85_1
117B	YD98_2	OF09_1
117F	OH33_2	OC05_1
117G	YH28_2	YV88_1
117I	YD98_2	OF09_1
117K	OL28_2	OF09_1
117L	YG97_2	YJ60_1
117M	YD22_2	YP37_1
117O	YI44_2	OF09_1
117P	OV17_2	YP37_1
117S	OL28_2	OF09_1
117T	YA99_2	YL85_1
117U	YI44_2	YK83_1
117V	YD98_2	YK83_1
117W	YD98_2	YK83_1
117X	OL28_2	OF09_1
117Y	OD43_2	OF09_1
118A	OL28_2	YK83_1
118B	OG61_2	YN45_1
118D	OL28_2	YK83_1
118E	YX56_2	YP37_1
118F	OD51_2	YL85_1
118G	OD43_2	OF09_1
118H	OH33_2	YP37_1
118I	YD98_2	YK83_1
118J	YD98_2	OF09_1
118K	YI44_2	OF09_1
