animal	sire	dam
009M	OF65_2	OF06_1
009N	YR82_2	YV27_1
009P	YI06_2	OF06_1
009Q	YT79_2	YG60_1
009R	YR82_2	YV27_1
009S	YR82_2	YV27_1
009T	YT79_2	OF06_1
009U	YR82_2	YV27_1
009V	YT79_2	OF06_1
009W	YT79_2	OF06_1
009Y	OD19_2	YK96_1
009Z	OF65_2	OF06_1
010A	OD19_2	YK96_1
010B	OD19_2	YK96_1
010C	OG53_2	YK96_1
010E	OD19_2	YK96_1
010F	YR84_2	YV27_1
010G	OD19_2	YK96_1
010H	OO53_2	YV27_1
010I	OJ25_2	YK96_1
010J	YI06_2	YG60_1
010L	OJ25_2	YK96_1
010M	YR54_2	YK96_1
010N	YR84_2	YV27_1
010O	OJ25_2	YK96_1
010P	OL26_2	YG60_1
010Q	OD19_2	YK96_1
010R	OL26_2	YG60_1
010S	YT79_2	OF06_1
010T	OF65_2	OF06_1
010U	YR84_2	YV27_1
010V	YG06_2	YV27_1
010W	YI06_2	OF06_1
010X	OO53_2	YV27_1
011A	OH33_2	YP37_1
011B	YG95_2	YL85_1
011C	YA99_2	YN45_1
011E	YD22_2	YP37_1
011F	OL28_2	OF09_1
011G	OD43_2	YK83_1
011H	YD22_2	YP37_1
011J	YD98_2	OF09_1
011K	YG88_2	OC52_1
011L	YX56_2	YP37_1
011M	OD43_2	OF09_1
011N	YD53_2	OF09_1
011O	OL28_2	YK83_1
011Q	YD22_2	YP37_1
011R	YD22_2	YP37_1
011S	YD53_2	YK83_1
011T	YA99_2	YN45_1
011U	YD98_2	OF09_1
011V	YX56_2	YP37_1
011W	YG95_2	YL85_1
011X	YD53_2	OF09_1
011Z	YI44_2	YK83_1
012A	OL28_2	OF09_1
012C	OD43_2	YK83_1
012D	YI44_2	YK83_1
012E	YD98_2	OF09_1
012F	YX56_2	YP37_1
012G	OL28_2	OF09_1
012I	YD22_2	YP37_1
012J	YD98_2	YK83_1
012K	YD53_2	OF09_1
012L	OD43_2	OF09_1
012M	YD98_2	YK83_1
012N	YI44_2	YK83_1
012O	YD53_2	YK83_1
012P	OV17_2	YP37_1
012Q	YX56_2	YP37_1
012R	YD53_2	YK83_1
012S	YD53_2	YK83_1
012T	OD43_2	OF09_1
012V	YI44_2	YK83_1
012W	OL28_2	YK83_1
012X	OL28_2	OF09_1
012Y	YI44_2	OF09_1
012Z	YI44_2	OF09_1
013B	YD98_2	OF09_1
013C	YD98_2	OF09_1
013D	YD98_2	YK83_1
013F	YD53_2	OF09_1
013G	OD43_2	OF09_1
013H	YI44_2	OF09_1
013I	YD98_2	YK83_1
013J	YI44_2	YK83_1
013K	YD98_2	OF09_1
013L	OH33_2	YP37_1
013M	YD22_2	YP37_1
013N	OH33_2	YP37_1
013O	YD98_2	OF09_1
013Q	YX56_2	YP37_1
013S	YD98_2	YK83_1
013T	OG61_2	YN45_1
013U	OL28_2	YK83_1
013V	YD98_2	OF09_1
013X	YD22_2	YP37_1
013Y	YI44_2	OF09_1
014A	YD53_2	OF09_1
014B	OL28_2	YK83_1
014C	YD98_2	OF09_1
014D	YD22_2	YP37_1
014E	OV17_2	YP37_1
014G	YX56_2	YP37_1
014H	YD98_2	OF09_1
014I	YI44_2	OF09_1
014J	YX56_2	YP37_1
014K	YD98_2	OF09_1
014L	OV17_2	YP37_1
014M	OH33_2	YP37_1
014N	YI44_2	OF09_1
014P	OV17_2	YP37_1
014Q	YD22_2	YP37_1
014R	YD98_2	YK83_1
014S	YD53_2	YK83_1
014U	YD53_2	YK83_1
014V	YI44_2	YK83_1
014W	YI44_2	YK83_1
014X	YD22_2	YP37_1
014Y	YD53_2	YK83_1
014Z	YA99_2	YN45_1
015A	YG97_2	YJ60_1
015C	YG88_2	OC52_1
015D	OD42_2	OS14_1
015E	YN92_2	YG81_1
015F	OC64_2	YJ60_1
015G	OG59_2	YT86_1
015H	YG97_2	YJ60_1
015I	OS12_2	YJ60_1
015J	YJ69_2	OC52_1
015K	OH34_2	OG13_1
015L	YO99_2	OC50_1
015M	YO65_2	OC52_1
015N	YT35_2	YT86_1
015O	OG58_2	OC52_1
015P	OC64_2	YG81_1
015Q	OC64_2	YJ60_1
015R	OD42_2	YS77_1
015S	YG88_2	YX87_1
015U	YG97_2	YG81_1
015V	YO96_2	YJ60_1
015W	OH34_2	OG13_1
015X	OG58_2	OC52_1
015Y	YO65_2	OC52_1
015Z	OC64_2	YJ60_1
016A	YO96_2	YJ60_1
016B	OH34_2	OG13_1
016C	OS12_2	YG81_1
016D	OC64_2	YG81_1
016E	OC64_2	YG81_1
016F	YO96_2	YJ60_1
016G	YG88_2	OC52_1
016H	YO65_2	OC52_1
016I	YG88_2	YX87_1
016J	YG88_2	OC52_1
016K	YG88_2	YX87_1
016L	OG59_2	YT86_1
016M	YG97_2	YG81_1
016N	OG59_2	YT86_1
016O	YG88_2	OC52_1
016P	YG88_2	OC52_1
016Q	YO66_2	OC52_1
016S	YG88_2	YX87_1
016T	YO66_2	YX87_1
016U	YG88_2	YX87_1
016V	YG88_2	OC52_1
016X	YG88_2	YX87_1
016Y	OC64_2	YJ60_1
016Z	OH34_2	OF45_1
017A	OS12_2	YJ60_1
017B	OC64_2	YJ60_1
017C	OH34_2	OF45_1
017D	YG97_2	YG81_1
017E	YN92_2	YG81_1
017F	OC64_2	YJ60_1
017G	YO96_2	YJ60_1
017H	YO96_2	YG81_1
017I	YO66_2	OC52_1
017J	OS12_2	YG81_1
017K	YG88_2	OC52_1
017L	YJ69_2	YX87_1
017M	YG97_2	YJ60_1
017N	OH34_2	OG13_1
017O	YT35_2	YT86_1
017P	YN92_2	YJ60_1
017Q	OH34_2	OF45_1
017R	OH34_2	OG13_1
017S	OS12_2	YJ60_1
017T	YJ48_2	OG13_1
017U	YO96_2	YG81_1
017V	OG58_2	OC52_1
017W	YG97_2	YJ60_1
017X	YJ48_2	OF45_1
017Y	YO96_2	YJ60_1
017Z	YG88_2	OC52_1
018A	OH34_2	OG13_1
018B	OH34_2	OG13_1
018C	OH34_2	OG13_1
018D	YJ69_2	OC52_1
018E	OH34_2	OG13_1
018F	YO65_2	YX87_1
018G	OC64_2	YJ60_1
018H	OH34_2	OG13_1
018I	YG97_2	YJ60_1
018J	YO66_2	YX87_1
018K	YJ48_2	OF45_1
018L	YG88_2	YX87_1
018N	YG88_2	YX87_1
018O	OS12_2	YG81_1
018P	OH34_2	OG13_1
018Q	OC64_2	YJ60_1
018R	YJ48_2	OF45_1
018S	YO66_2	YX87_1
018T	YG88_2	OC52_1
018U	OC64_2	YJ60_1
018V	OG59_2	YT86_1
018W	OD42_2	OS14_1
018X	YG96_2	OC50_1
018Y	OS12_2	YJ60_1
019A	YN49_2	YR31_1
019B	YV93_2	YR31_1
019C	YV94_2	OF45_1
019D	YV93_2	YS24_1
019E	YF30_2	YV88_1
019F	YV93_2	YS24_1
019G	YV94_2	OF45_1
019H	OG35_2	YR31_1
019I	YF30_2	YX21_1
019J	YV94_2	OG13_1
