animal	MOTHER	FATHER
Q40_2	YP91	RZ26
R36_2	YL58	RZ63
R37_2	YL58	RZ44
R38_2	YL58	RZ00
R39_2	YL58	RZ25
R40_2	YL58	RZ26
U46_2	OF89	OK29
U47_2	OF89	YC06
U48_2	OF89	OK23
U49_2	OF89	YF89
U50_2	OF89	YF87
V46_2	YV55	OK29
V47_2	YV55	YC06
V48_2	YV55	OK23
V49_2	YV55	YF89
V50_2	YV55	YF87
W51_2	OD28	YT91
W52_2	OD28	OF32
W53_2	OD28	OH51
W54_2	OD28	OH14
W55_2	OD28	OK28
X51_2	YP89	YT91
X52_2	YP89	OF32
X53_2	YP89	OH51
X54_2	YP89	OH14
X55_2	YP89	OK28
Y56_2	OF90	YF91
Y57_2	OF90	YC14
Y58_2	OF90	YT65
Y59_2	OF90	OF31
Y60_2	OF90	OH74
Z56_2	OD29	YF91
Z57_2	OD29	YC14
Z58_2	OD29	YT65
Z59_2	OD29	OF31
Z60_2	OD29	OH74
